idbooktitle,booktitle,number_anos
686,ITiCSE,16
2451,ICRA,16
3125,WADS,16
1199,ECBS,16
933,ISLPED,16
620,ACISP,16
4395,DFT,16
5245,"IEEE Conference on Computational Complexity",16
1382,ISPD,16
5565,ESORICS,16
4891,SOFSEM,16
4706,"Graphics Interface",16
3258,ICFP,16
5604,PPOPP,16
1563,"IEEE Visualization",16
4702,ICECCS,16
5198,CSMR,16
379,INFORSID,16
610,"Financial Cryptography",15
2623,FASE,15
4383,HSCC,15
5706,NDSS,15
3255,ISWC,15
1923,EuroGP,15
5199,FoSSaCS,15
1905,ASYNC,15
2378,IEA/AIE,15
1928,"Public Key Cryptography",15
3733,IPCO,15
1149,UIST,15
2328,OPODIS,15
1611,JSSPP,15
2892,FCCM,15
3946,DATE,15
856,ECAI,15
3059,"Developments in Language Theory",15
4942,IDEAS,15
4232,PDP,15
1207,ASE,15
388,Euro-Par,15
4351,ICTAI,15
4707,ILP,14
3789,ICDT,14
651,PADL,14
4465,MMB,14
329,"Best of PLDI",14
2822,ASP-DAC,14
3803,BTW,14
3490,"Bildverarbeitung für die Medizin",14
2254,COMPSAC,14
3586,"Security Protocols Workshop",14
1267,LPAR,14
1507,DOLAP,14
4374,PRIMA,14
3175,PACIS,14
4454,"FLAIRS Conference",14
2769,SAFECOMP,14
5439,"Discovery Science",14
9,TYPES,14
3221,WER,14
220,SEC,14
1183,CSCW,14
3710,VRST,14
538,DASFAA,14
2665,PDPTA,14
3507,"Selected Areas in Cryptography",14
2903,HICSS,14
1051,"Asian Test Symposium",14
2550,EDBT,14
3208,DISC,14
4129,IV,14
2661,ASAP,14
4476,"Canadian Conference on AI",14
3293,ISORC,14
2897,ECDL,14
3025,INFOS,14
3140,RE,14
1527,NOSSDAV,14
5477,"ICPP Workshops",13
1879,COORDINATION,13
5340,PVM/MPI,13
4285,VR,13
4826,ISCC,13
978,"Rendering Techniques",13
3963,TABLEAUX,13
649,DaWaK,13
4504,SIGAda,13
3021,RTCSA,13
263,ISQED,13
311,ICFEM,13
4703,NLDB,13
3929,SIBGRAPI,13
5240,SPIRE,13
2348,ICPADS,13
2492,SCCC,13
2808,TSD,13
2728,EDOC,13
2570,SPIN,13
2610,ECML,13
995,ISSTA,13
3916,PPDP,13
3587,CHES,13
5483,DSV-IS,13
2406,ASIAN,13
840,ICISC,13
294,ICICS,13
4983,ICAIL,13
1321,"ACM Great Lakes Symposium on VLSI",13
253,HiPC,13
573,SI3D,13
2546,COLING,13
3421,BMVC,13
219,"Information Hiding",13
3156,ECRTS,13
3032,SWAT,12
5148,GWAI,12
4899,"CHI Extended Abstracts",12
4173,CSEE&T,12
1998,WWW,12
1605,IPDPS,12
5187,CIAA,12
5130,"SIGSOFT FSE",12
3522,EMISA,12
2430,MABS,12
2607,ICCV,12
4511,"ACM Conference on Electronic Commerce",12
1651,DSN,12
5544,MobiHoc,12
3671,LPNMR,12
1930,Web3D,12
5183,WOWMOM,12
4192,"GI Jahrestagung (1)",12
3799,APLAS,12
5357,IFL,12
4555,MSWiM,12
1254,PAKDD,12
3024,CT-RSA,12
5076,TARK,12
2296,EuroPLoP,12
1213,PACT,12
2774,CASES,12
5556,EKAW,12
2303,WebDB,12
1220,HASE,12
5010,ISSRE,12
5234,"Data Compression Conference",12
5049,GRID,12
2269,SLIP,12
5714,AIMSA,12
4439,ELPUB,12
4711,"ACM Conference on Computer Science",12
4234,KR,12
1586,EACL,12
4967,COMPCON,12
4871,SimVis,12
4193,"GI Jahrestagung (2)",12
2580,"Essen Symposium",12
4750,"German Conference on Bioinformatics",12
614,RoboCup,12
1986,EC-Web,12
221,ISMIR,12
81,PRDC,12
1737,AMAST,12
3839,DBPL,12
669,"Pacific Symposium on Biocomputing",12
4997,INDOCRYPT,12
88,PEARL,12
4223,FTCS,12
4732,INTERSPEECH,12
2993,CLUSTER,12
31,DCFS,11
2847,CLEF,11
5701,LCTES,11
5091,ECSCW,11
2673,"Digital Rights Management Workshop",11
5075,VMCAI,11
1918,INFOVIS,11
297,GECCO,11
489,ICATPN,11
4424,EUROCAST,11
921,DNA,11
2820,AI*IA,11
343,"ACM SIGOPS European Workshop",11
1964,AOSD,11
2900,JELIA,11
75,PKDD,11
4258,ECIR,11
5224,ACSC,11
1185,DSD,11
3271,ISI,11
5528,CIA,11
887,"ECOOP Workshops",11
590,"IEEE International Workshop on Rapid System Prototyping",11
526,EGC,11
638,EMSOFT,11
4381,ISPW,11
4096,"ACM Symposium on Document Engineering",11
3374,IDEAL,11
5190,Ubicomp,11
1327,ISC,11
1583,HIS,11
796,MMNS,11
2960,WISE,11
1727,DAIS,11
103,SCAM,11
940,"ICDCS Workshops",11
3708,WABI,11
4971,SBBD,11
3015,"Computers and Their Applications",11
5428,DS-RT,11
4594,Middleware,11
3491,WSE,11
746,VL,11
2974,BIBE,11
3121,PROFES,11
4793,"Kommunikation in Verteilten Systemen",11
3594,DGCI,11
1524,JFPLC,11
1748,"Peer-to-Peer Computing",11
1074,EvoWorkshops,11
1956,EJC,11
1547,CCGRID,11
4366,AOSE,11
3279,PSTV,11
623,PATMOS,11
4161,SACMAT,11
422,EPIA,11
237,POLICY,11
1481,DSOM,11
381,ICDM,11
685,ISER,11
1664,SCM,11
973,ACSD,11
3485,FOGA,11
1463,JCDL,11
5333,JISBD,11
4403,SAINT,11
1374,AIPR,10
1413,IQ,10
5235,DCC,10
3579,IPSN,10
4401,RAID,10
1212,FMCAD,10
3851,ICOIN,10
93,PPSN,10
4228,NETGAMES,10
2600,GPCE,10
5322,XP,10
4392,ICALT,10
3209,WDAG,10
148,IRI,10
1708,"International Conference on Internet Computing",10
2261,ESAW,10
4130,CVPR,10
1226,ICWL,10
139,"ICEIS (1)",10
5633,"DEXA Workshops",10
5665,ASSETS,10
711,ISPASS,10
4185,PRIS,10
1345,SDM,10
4461,MPC,10
5359,COSIT,10
4445,"BCS HCI",10
2692,NCA,10
3735,ISMB,10
2401,ICMI,10
3132,ISMAR,10
5277,DG.O,10
5549,CICLing,10
2976,NetWORKing,10
250,TLCA,10
3596,"Integrated Network Management",10
2617,KRDB,10
554,SPLC,10
506,"Australian Software Engineering Conference",10
1766,LATIN,10
5195,"IEEE Real Time Technology and Applications Symposium",10
1460,CAINE,10
2310,PerCom,10
140,"ICEIS (2)",10
2997,ICCBR,10
872,VMV,10
3052,"Erlang Workshop",10
3480,"Mobile HCI",10
2972,IPMI,10
1065,WOA,10
3592,PASTE,10
3935,C5,10
845,IC-AI,10
564,ISVLSI,10
5141,EGOV,10
1840,MMM,10
2840,"Web Intelligence",10
2650,"ICIP (1)",9
3556,MVA,9
1518,ICAPS,9
3956,WPES,9
3643,"ECCV (1)",9
361,WIDM,9
4938,NPAR,9
1525,SPLT,9
2375,FMCO,9
1870,DALT,9
1260,I3E,9
962,OSDI,9
5146,IMR,9
1308,"IEEE METRICS",9
1564,SAT,9
2700,WADT,9
3698,AMS,9
2925,FDL,9
2494,SenSys,9
4977,ESTImedia,9
1347,ECSQARU,9
3673,FMLDO,9
4920,"Communications and Multimedia Security",9
3168,ICMLA,9
2852,IPTPS,9
3280,MATES,9
1523,"Pacific Conference on Computer Graphics and Applications",9
4431,"ICCSA (1)",9
5281,"GI-Fachgespräch über Rechenzentren",9
2501,ICCCN,9
4687,"IEEE ICCI",9
4639,FQAS,9
1859,RuleML,9
4358,QSIC,9
5304,IVA,9
1073,EvoCOP,9
5649,PPSC,9
4831,ICARIS,9
1626,"Computer Graphics International",9
3019,ADHOC-NOW,9
2653,"ICIP (2)",9
1015,MobiDE,9
606,MEMOCODE,9
3511,SCAI,9
2801,"Conf. Computing Frontiers",9
5311,ACM-GIS,9
4790,"SWAT (FOCS)",9
4525,MTV,9
4541,ANTS,9
622,CGO,9
1777,ALENEX,9
1681,CARDIS,9
3646,"ECCV (2)",9
3237,iiWAS,9
3157,SFM,9
364,CORIA,9
5663,ACNS,9
4420,ICES,9
4861,WAIM,9
1375,CAIP,9
1391,CW,9
5309,GIS,9
1992,"KES (1)",9
355,CLIMA,9
3212,MobiSys,9
2642,PADS,9
4101,FAST,9
4939,ICGI,9
142,"ICEIS (4)",9
3443,ICME,9
899,CIARP,9
5051,CoopIS,9
4149,RIDE,9
4377,EWSN,9
1501,W4A,9
4108,TCC,9
4409,Modellierung,9
3249,WISA,9
4099,CPAIOR,9
5707,"Privacy Enhancing Technologies",9
4275,"MICCAI (1)",9
4179,ISCAS,9
4592,IDA,9
568,SEFM,9
3096,ISSS,9
319,IHM,9
2699,WWIC,9
4912,IOLTS,9
3192,"Software Engineering",9
1250,AMCIS,9
5008,SERA,9
99,IWQoS,9
5296,ICWS,9
1979,IAAI,9
3119,CAAP,9
1570,ISPA,9
751,"Smart Graphics",9
1634,VAST,9
4273,"MICCAI (2)",9
959,ICEC,9
1040,ICDAR,9
2809,ADC,9
4405,WAOA,9
4533,ISPAN,9
2283,ISMM,9
1970,Pervasive,9
4168,ADT,9
2652,"ICIP (3)",9
2668,RelMiCS,9
3494,DeLFI,9
1424,OOIS,9
113,ICADL,9
4248,"AFIPS National Computer Conference",9
5719,CODES+ISSS,9
1993,"KES (2)",9
5326,EUROMICRO,9
3670,SBAC-PAD,9
4428,"ICCSA (2)",9
4869,RIAO,9
4175,CIVR,9
3453,PLILP,9
1150,"ACM Symposium on User Interface Software and Technology",9
2824,IAT,9
1070,GLDV-Jahrestagung,9
4940,IWDW,9
1214,"IEEE PACT",9
1543,ICWE,9
5557,SEUH,8
4230,VECPAR,8
2602,IFM,8
5717,LMO,8
5196,"IEEE Real-Time and Embedded Technology and Applications Symposium",8
747,VL/HCC,8
1895,GREC,8
763,ATMOS,8
1189,"USENIX Annual Technical Conference, General Track",8
5244,"Structure in Complexity Theory Conference",8
3780,"OOPSLA Companion",8
5043,EWSPT,8
1461,ICFCA,8
3122,IWPC,8
2311,"PerCom Workshops",8
658,ISSA,8
2014,"Artificial Evolution",8
3266,LSSC,8
2741,Performance,8
1100,"ISNN (1)",8
141,ICEIS,8
1781,"Advances in Computer Entertainment Technology",8
1685,"IMA Int. Conf.",8
3474,"ER (Workshops)",8
5715,"Hot Interconnects",8
256,EMMCVPR,8
2366,EuroSPI,8
4139,CNSR,8
953,"PAM ",8
432,ECOWS,8
4251,PDCAT,8
3136,IICS,8
2437,FOSAD,8
1082,MDAI,8
279,W2GIS,8
4559,AAMAS,8
4671,CRV,8
5537,ISBI,8
583,IAS,8
4623,APPROX-RANDOM,8
2698,VEE,8
3159,JFSMA,8
4406,AICCSA,8
4534,AIME,8
3632,PPPJ,8
130,"SIGITE Conference",8
2419,"Automated Deduction in Geometry",8
3575,APGV,8
2355,CCIA,8
4336,"Intelligent Tutoring Systems",8
3422,"Gesture Workshop",8
4372,PRICAI,8
1528,CDVE,8
1231,MICAI,8
1279,CSCWD,8
2651,ICIP,8
5718,CODES,8
2385,ICSOC,8
3436,ISPDC,8
956,SBCCI,8
167,FMOODS,8
876,PARA,8
4302,QEST,8
3973,ICDCIT,8
3139,ICSR,8
2440,ML,8
3267,EDCC,8
5476,"SDL Forum",8
1325,SCOPES,8
2983,"Security and Management",8
778,DATESO,8
1140,IWOMP,8
3843,"Shape Modeling International",8
1099,"ISNN (2)",8
1355,SNPD,8
3045,ICAC,8
4122,EGPGV,8
147,HPCS,8
3416,PROMAS,8
1474,"Vehicular Ad Hoc Networks",8
138,"ICEIS (3)",8
3864,"IFIP Congress",8
2947,AINA,8
2315,"Secure Data Management",8
2443,IKE,8
1529,"GIL Jahrestagung",8
4296,EuroPKI,8
193,Humanoids,8
1014,TrustBus,8
1657,FORMATS,8
3117,CMSB,8
260,GROUP,8
1223,VLSI-SoC,8
4287,"IMA Conference on the Mathematics of Surfaces",8
5422,"Software Engineering Research and Practice",8
3357,PE-WASUN,8
4303,CBSE,8
468,IPCCC,8
2249,ATVA,8
4239,DIMVA,8
3958,MUM,8
235,ISPEC,8
1591,AH,8
3252,APWeb,8
1495,ICTAC,8
459,"ICIC (2)",7
5020,MOBIWAC,7
191,NPC,7
3508,MMS,7
5084,WCET,7
322,MASS,7
3572,CANS,7
2448,IROS,7
4410,LANOMS,7
811,"OTM Workshops",7
1221,ICGA,7
2959,"WISE Workshops",7
2689,CIBCB,7
3563,BIS,7
3988,"HPCN Europe",7
2838,CIG,7
1084,UML,7
2455,"ICANN (1)",7
1388,PuK,7
4641,"International Semantic Web Conference",7
109,RIVF,7
2487,"IEEE SCC",7
4123,ENTER,7
2764,VISUAL,7
4315,"Hybrid Metaheuristics",7
3513,SSPR/SPR,7
132,NOMS,7
4082,EuroSys,7
4114,ICIAP,7
3593,ArgMAS,7
4872,"Reasoning Web",7
551,"Symposium on Computer Animation",7
2565,CHARME,7
1731,SBIA,7
107,ICSC,7
3223,"International Conference on Supercomputing",7
2810,"Australasian Database Conference",7
5320,APCCM,7
4169,"Adaptive Multimedia Retrieval",7
903,ERSA,7
5720,MSR,7
2467,"ICPP (1)",7
4429,"ICCSA (3)",7
1697,EUROMICRO-SEAA,7
4701,HRI,7
2563,"Spatial Cognition",7
5158,"Evolvable Hardware",7
4388,"Mobile Data Management",7
252,CIT,7
3582,ALGOSENSORS,7
2346,MLMI,7
2857,ICISS,7
1640,FIW,7
1247,"Software Composition",7
3758,"Multimedia Information Retrieval",7
2522,"HCI (2)",7
2241,SoMeT,7
4327,XSym,7
3918,APMS,7
5085,REFSQ,7
339,Software-Ergonomie,7
1896,CHINZ,7
3589,FG,7
5670,CiE,7
4539,PWC,7
1647,WIRN,7
2783,HPCC,7
4174,CSEE,7
4254,"IEEE Symposium on Mass Storage Systems",7
2823,AUIC,7
1903,IWAN,7
1494,"Document Analysis Systems",7
691,JURIX,7
707,ETRA,7
1373,GeoInfo,7
979,WINE,7
458,"ICIC (1)",7
3379,DRR,7
1734,DCOSS,7
4341,GrC,7
522,AINTEC,7
1990,"KES (3)",7
810,"OTM Conferences (2)",7
2367,ANCS,7
4537,GPC,7
3619,RTSS,7
4457,"Mensch & Computer",7
4268,WOSIS,7
4994,MTDT,7
1677,"Computers and Games",7
2624,"Symposium on Solid Modeling and Applications",7
2527,"HCI (1)",7
3626,UC,7
4672,SBRN,7
4291,ARC,7
4307,ICVS,7
5161,"Workshop on Membrane Computing",7
1058,WICSA,7
5634,"DEXA Workshop",7
5698,FTRTFT,7
5401,DNIS,7
4567,ATAL,7
4170,"Int. Sym. Wikis",7
3464,FME,7
1739,ACRI,7
115,"Advances in Modal Logic",7
3544,FLOPS,7
671,Afrigraph,7
5248,CA,7
1353,TAMC,7
1698,SYNASC,7
3423,"USENIX Security Symposium",7
5319,CGIV,7
3567,TLDI,7
694,"Ershov Memorial Conference",7
3855,FoIKS,7
1689,MSN,7
3034,DICTA,7
461,CLIN,7
3791,POS,7
97,"Multimedia Information Systems",7
2588,DMSN,7
2491,CSCLP,7
129,DaMoN,7
4460,ISADS,7
3542,NGITS,7
3967,"Robotics: Science and Systems",7
4095,"IFIP Int. Conf. Digital Forensics",7
1504,LPE,7
1191,"USENIX Annual Technical Conference, FREENIX Track",7
813,"OTM Conferences (1)",7
3197,INEX,7
3814,COMAD,7
5157,Haskell,7
1744,AIIDE,7
5614,CPR,7
4812,DILS,7
5237,ISCIS,7
1607,IPPS,7
4828,MLDM,7
2457,"ICANN (2)",7
820,NSDI,7
5413,ASIACCS,6
2920,ISAIM,6
4182,"ISCAS (5)",6
4691,SSTD,6
4342,"VISAPP (1)",6
3821,CoNEXT,6
507,IWSEC,6
3099,USAB,6
3428,ICCL,6
1566,AVI,6
5324,MoMM,6
3163,ONDM,6
795,DLS,6
827,PRO-VE,6
1454,VDB,6
4995,SSS,6
2625,"Symposium on Solid and Physical Modeling",6
166,ADL,6
5123,PATAT,6
4602,MidSens,6
4317,SADFE,6
5139,SWS,6
5564,VaMoS,6
923,"Fachtagung über Programmiersprachen",6
2593,ATC,6
1662,CADUI,6
1148,NEW2AN,6
4890,FIMH,6
3659,FPCA,6
1902,MBEES,6
4810,"Color Imaging Conference",6
4529,ÖGAI,6
1950,EMNLP,6
3611,OM,6
3298,MSVVEIS,6
2503,WINSYS,6
4180,"ISCAS (3)",6
1372,WebNet,6
3030,GMP,6
2664,WEA,6
601,PAKM,6
5226,PIMRC,6
1909,SEDE,6
3273,Edutainment,6
5258,IWANN,6
1628,AMDO,6
3193,"Software Engineering (Workshops)",6
5418,FMSE,6
5530,VRIPHYS,6
196,IWLCS,6
905,"ISVC (1)",6
4463,FCS,6
1050,CDES,6
2707,"ICONIP (2)",6
2309,ENC,6
3657,"Digital Identity Management",6
2739,CSC,6
3609,WAW,6
3216,AP2PC,6
4162,GCA,6
4178,"ISCAS (1)",6
155,SAMOS,6
1402,ICE-B,6
5617,WLP,6
2428,AIRS,6
1514,"Australian Joint Conference on Artificial Intelligence",6
382,"ICDM Workshops",6
4959,IJCNN,6
4694,"Haifa Verification Conference",6
983,ESWC,6
3367,"LISP and Functional Programming",6
194,LACL,6
4646,SWWS,6
510,ACIVS,6
2605,APSCC,6
4365,HAID,6
2705,"European Test Symposium",6
229,OSS,6
3150,"MoDELS Workshops",6
3262,Stringology,6
4822,FTDCS,6
3703,BSN,6
2882,SOUPS,6
2291,CSCL,6
5014,CEC,6
2644,APBC,6
4304,IWFM,6
5551,"Creativity & Cognition",6
597,"Computational Aesthetics",6
5583,COOTS,6
1761,"Storage and Retrieval for Image and Video Databases (SPIE)",6
5615,SIGCPR,6
5647,GfKl,6
3173,EMO,6
5286,"Business Process Management Workshops",6
4676,3DIM,6
144,"ICEIS (5)",6
4692,SSD,6
5542,EPEW,6
3886,IRCDL,6
1720,SARA,6
3381,ICDIM,6
901,FECS,6
5574,CONIELECOMP,6
4644,URSW,6
112,DMIN,6
4247,CTW,6
5590,CIAC,6
748,HCC,6
3573,MSV,6
1190,"USENIX Winter",6
4836,DDECS,6
2880,NIME,6
4443,SECRYPT,6
732,HLT-NAACL,6
1976,ICGSE,6
135,ANLP,6
547,AAIM,6
5533,ExaCt,6
3388,FroCos,6
4731,EUROSPEECH,6
199,ICWN,6
1839,ICCBSS,6
7,CCA,6
1350,MAAMAW,6
1462,WS-FM,6
3580,GLOBECOM,6
1085,MoDELS,6
5364,GCC,6
4955,ECAL,6
5597,"VTC Fall",6
851,LATA,6
1702,"ICDE Workshops",6
4229,CollaborateCom,6
4738,"Advances in Computer Graphics",6
602,DEBS,6
5588,ACIS-ICIS,6
1060,PICS,6
2717,ISTA,6
5652,CEAS,6
4124,FUZZ-IEEE,6
3290,Diagrams,6
3715,AVSS,6
2511,"Multiple Classifier Systems",6
5122,ISM,6
3795,BSB,6
3137,"IFIP TCS",6
769,"ARCS Workshops",6
248,"IEEE VAST",6
4400,FDTC,6
5346,DMKD,6
4841,WiMob,6
4544,EUC,6
2390,SIGMAP,6
3217,BIOSIG,6
881,ITNG,6
3914,PRIB,6
1042,TPCG,6
5305,CASC,6
223,"WEBIST (Selected Papers)",6
4928,"Fuzzy Days",6
2244,"Formal Aspects in Security and Trust",6
904,"ISVC (2)",6
2573,TAMODIA,6
5056,EC-TEL,6
1426,PST,6
1330,IDMS,6
2606,"Communications in Computing",6
1458,"ISCA PDCS",6
2706,"ICONIP (1)",6
230,ICDCN,6
4791,"SWCT (FOCS)",6
4097,MATA,6
4510,TES,6
1193,"USENIX Summer",6
5360,UIC,6
2468,"ICPP (3)",6
3720,DIPES,6
2883,ICC,6
154,ICSAMOS,6
3471,"ER Workshops",6
4622,ISBRA,6
2564,RSKT,6
3238,ICMB,6
1906,CPA,6
1072,EvoBio,6
3679,"Tangible and Embedded Interaction",6
1954,WALCOM,6
4549,IPMU,6
4184,"ISCAS (4)",6
